,caloNum,a,a error,b,b error,chi2
0,1.0,0.03104946039521858,0.02208495075744,918.935724319466,1.6154958129313066,2.2198440281649763
1,2.0,0.041289574524184774,0.02620242062652729,929.3039586093324,1.9159170140997606,2.9264298654371523
2,3.0,0.02648441305126333,0.020216374698901224,937.5238095516739,1.4789488315240704,1.7049755362970551
3,4.0,0.012308313582741785,0.02135871054692623,937.6987797386255,1.5630527450240688,1.8900531326675174
4,5.0,0.013648046658550616,0.021292733274469875,967.8181639658037,1.5583721516636784,1.7308560014387053
5,6.0,0.01853501391431047,0.026935705489477366,944.02814476063,1.9709338970727353,2.969186738835335
6,7.0,0.03080208018898257,0.026874385570225066,948.5008538976143,1.9655389343263063,2.9142054293611954
7,8.0,-0.004656280625569691,0.02535052959524372,934.7510119377066,1.8558490509299563,2.705164024885869
8,9.0,0.021700447037798207,0.024038157049160153,986.4469199486477,1.7588381616619901,2.0630581055496653
9,10.0,0.002300723088245532,0.01996994181418082,914.8870333662419,1.461874813131019,1.7624505436367408
10,11.0,0.0017165350952736953,0.026275974231657836,912.4706733107162,1.9231856721616374,3.1330152666731395
11,12.0,0.03072626828083652,0.022945393065713374,911.5707473616642,1.678525225689581,2.4424719874909457
12,13.0,0.014379611285023285,0.018196546007425804,746.8649404490636,1.3313652838305872,2.1398475694728747
13,14.0,0.025215716222771276,0.022263861994250195,909.9759952772347,1.6288408363798934,2.2297546644796746
14,15.0,0.03385934948092052,0.024038413388965618,911.7679325347453,1.758418509184184,2.5663425610514157
15,16.0,0.025517881644751262,0.0245603598209229,922.3211224352083,1.796816917230966,2.5624349838625062
16,17.0,0.02456602165962291,0.02390142832953527,914.0961811151906,1.7487782443875115,2.520941067681955
17,18.0,0.030005772088394733,0.023566889914022695,908.8475289503516,1.7239038300569896,2.5702198867437036
18,19.0,0.030926497490320164,0.01641269773993432,761.1415430957744,1.2004033062030177,1.6625685466983882
19,20.0,0.03875790095682292,0.02122617829603219,928.0114178062302,1.5524746747406175,1.9366697561753894
20,21.0,0.05123704289371414,0.02449569293814964,923.6416442028924,1.7913888591986673,2.517647085666297
21,22.0,0.010437289582907258,0.021902368369172146,946.6663251538165,1.6027252121063735,1.937894648739686
22,23.0,0.016363962774301404,0.025573338946283754,926.7838222404383,1.8709551701057168,2.8622430503925713
23,24.0,0.022783956409625973,0.023354196988953323,949.722104695925,1.7086279247633003,2.230688450257364
