,index,TimeBin,Mean,MeanError,SD,SDError,Var,VarError,Npoints,RMS,RMSError
0,0,5.596906821882588,-0.9400683335893436,0.005005506650299855,28.734493606492762,0.003539427695701387,825.6711228215735,0.20340732498554984,32954218.0,28.734493606492762,0.003539427695701387
1,10,6.227570384230825,-0.8122011334715473,0.023238483048297138,31.116137894950157,0.016432088947939537,968.2140374975531,1.0226062912123461,1792899.0,31.116137894950157,0.016432088947939537
2,20,6.858233946579061,-0.8662850773471457,0.02700559097332923,31.88683367334955,0.019095836507191315,1016.7701617118586,1.2178115251165713,1394169.0,31.88683367334955,0.019095836507191315
3,30,7.488897508927296,-0.7624506883961463,0.031929058951539295,32.79969207958838,0.022577254101538474,1075.8198005158129,1.4810539650661716,1055279.0,32.79969207958838,0.022577254101538474
4,40,8.119561071275532,-0.6086642007387795,0.03757728478750681,33.71723305386004,0.026571152891824164,1136.851804808312,1.7918115091267648,805106.0,33.71723305386004,0.026571152891824164
5,50,8.750224633623768,-0.6432387003823479,0.04260000734856629,34.336451570244876,0.03012275407476798,1178.9919064357719,2.0686169729013346,649668.0,34.336451570244876,0.03012275407476798
6,60,9.380888195972004,-0.5118079063327569,0.045819112813453244,34.58802855900674,0.03239900537834422,1196.3317195986658,2.2412354466191657,569847.0,34.58802855900674,0.03239900537834422
7,70,10.01155175832024,-0.3633917054844266,0.04737183775729451,34.57225799404114,0.03349694771545188,1195.2410228065417,2.3161302368630188,532617.0,34.57225799404114,0.03349694771545188
8,80,10.642215320668475,-0.17297766109561596,0.04810307809554705,34.417475052421125,0.0340140127173074,1184.5625889840308,2.3413528682613243,511932.0,34.417475052421125,0.0340140127173074
9,90,11.27287888301671,-0.029930543981778256,0.04863147798840927,34.31925158907695,0.03438764786472852,1177.8110296343607,2.360316677252406,498013.0,34.31925158907695,0.03438764786472852
10,100,11.903542445364947,0.11929337217950894,0.04911519890158205,34.26488331568888,0.034729690202634736,1174.082228637774,2.3800175647666046,486706.0,34.26488331568888,0.034729690202634736
11,110,12.534206007713182,0.2100947320936264,0.04950133705346574,34.25349453663931,0.03500273110830654,1173.301887971579,2.397931717571666,478824.0,34.25349453663931,0.03500273110830654
12,120,13.164869570061418,0.3708016172813751,0.049698934106318635,34.22120787261621,0.03514245332432129,1171.0910682608096,2.4052344007306226,474129.0,34.22120787261621,0.03514245332432129
13,130,13.795533132409654,0.5524380044816827,0.04995201004114891,34.24220307855888,0.0353214050339949,1172.5284716732672,2.4189654483881706,469913.0,34.24220307855888,0.0353214050339949
14,140,14.42619669475789,0.614338221070138,0.050261314594829735,34.28271177239962,0.0355401163813545,1175.3043264694275,2.436823132519029,465246.0,34.28271177239962,0.0355401163813545
15,150,15.056860257106125,0.6634317458661526,0.050523658821831956,34.2706860292163,0.03572562176327291,1174.4799209131213,2.4486831332953254,460104.0,34.2706860292163,0.03572562176327291
16,160,15.687523819454361,0.6766717370261378,0.05079080294852568,34.28243754208781,0.0359145211868122,1175.2855238271518,2.4624746588817574,455589.0,34.28243754208781,0.0359145211868122
17,170,16.318187381802595,0.6558043918392783,0.05111399453363042,34.26811195997079,0.036143052148262196,1174.303497301093,2.4771083151834237,449470.0,34.26811195997079,0.036143052148262196
18,180,16.94885094415083,0.701506704972212,0.051351880811837024,34.22316806859842,0.03631126314873331,1171.2252326515343,2.4853729230444084,444148.0,34.22316806859842,0.03631126314873331
19,190,17.579514506499066,0.9267716643552492,0.051738866180034614,34.20099511667534,0.036584903126805804,1169.70806697085,2.5024801863678507,436962.0,34.20099511667534,0.036584903126805804
20,200,18.210178068847302,0.8519558387436639,0.05201477460290786,34.14665961163458,0.036779999843605964,1165.9943626328366,2.511828270351172,430966.0,34.14665961163458,0.036779999843605964
21,210,18.840841631195538,0.9114383493560166,0.052610549892429276,34.19790962488952,0.037201276590889926,1169.497022712111,2.544411789571543,422526.0,34.19790962488952,0.037201276590889926
22,220,19.471505193543774,0.9493954050785989,0.052990887537959774,34.211271578533825,0.03747021591918507,1170.4111030201966,2.5638074658350836,416808.0,34.211271578533825,0.03747021591918507
23,230,20.10216875589201,0.8734438467449724,0.0533803762971747,34.17615800602773,0.03774562606202188,1168.0097760529732,2.580000960664196,409905.0,34.17615800602773,0.03774562606202188
24,240,20.732832318240245,0.8293963020717335,0.05373111440463257,34.152453250281916,0.03799363535622587,1166.3900630126918,2.5951517106235245,404010.0,34.152453250281916,0.03799363535622587
25,250,21.36349588058848,0.9523980809324035,0.053996639954097356,34.06969762654492,0.03818139027283071,1160.7442963642009,2.6016568431128917,398110.0,34.06969762654492,0.03818139027283071
26,260,21.99415944293672,0.9383193392665177,0.05429539829805582,34.05412402189615,0.0383926443237798,1159.6833628986844,2.614855742661089,393381.0,34.05412402189615,0.0383926443237798
27,270,22.624823005284956,0.9327986518216365,0.05456803202095708,34.04564195903192,0.03858542547802341,1159.1057364025949,2.627331161323387,389266.0,34.04564195903192,0.03858542547802341
28,280,23.25548656763319,0.9497906467153605,0.054944289482812304,34.03890749489012,0.03885147968077328,1158.6472234456867,2.6449238457868898,383801.0,34.03890749489012,0.03885147968077328
29,290,23.886150129981427,0.9804679616548885,0.05518668004980828,34.04369631461662,0.039022875694391786,1158.9732587618412,2.6569658589258163,380544.0,34.04369631461662,0.039022875694391786
30,300,24.516813692329663,0.9546092165627781,0.055677425116281425,34.06170860840412,0.0393698848587288,1160.1999933238312,2.6820110920088833,374261.0,34.06170860840412,0.0393698848587288
31,310,25.1474772546779,0.9785060053572942,0.05593521430772801,34.0395078293756,0.03955216934411727,1158.6880932661231,2.6926727561157393,370336.0,34.0395078293756,0.03955216934411727
32,320,25.778140817026134,1.0255221482671535,0.056306105336362905,34.06347192804594,0.03981442890554626,1160.320119792774,2.7124353627105116,365988.0,34.06347192804594,0.03981442890554626
33,330,26.40880437937437,0.9825809373377616,0.056631476087584696,34.07935238140406,0.04004450077013495,1161.4022587359104,2.72938130536567,362132.0,34.07935238140406,0.04004450077013495
34,340,27.039467941722606,1.0060385720330514,0.056748277774801466,34.012249648186675,0.04012709203521996,1156.8331261305743,2.7296253439153286,359224.0,34.012249648186675,0.04012709203521996
35,350,27.67013150407084,0.955258223100701,0.05705995563468121,34.0049570376899,0.04034748156348664,1156.3371031351357,2.744028754290697,355158.0,34.0049570376899,0.04034748156348664
36,360,28.300795066419077,0.9601287418077918,0.05744749029807386,34.05434699937527,0.04062150995191643,1159.6985495538595,2.766677991082276,351401.0,34.05434699937527,0.04062150995191643
37,370,28.931458628767313,0.9137852860282895,0.05777542286417991,34.06242160701749,0.040853393293181925,1160.2485657342118,2.7831310128593265,347588.0,34.06242160701749,0.040853393293181925
38,380,29.56212219111555,0.8809080681312762,0.05801746725978672,34.02728164341199,0.041024544526663695,1157.8558960400826,2.791907461802963,343983.0,34.02728164341199,0.041024544526663695
39,390,30.192785753463784,0.9444272491364767,0.05829431252293168,33.98543421517151,0.041220303689572864,1155.0097387937506,2.8017798387427404,339886.0,33.98543421517151,0.041220303689572864
40,400,30.82344931581202,0.9932879388951432,0.058531341041703884,34.01773865066421,0.041387908162531295,1157.2065429048932,2.8158460863413626,337780.0,34.01773865066421,0.041387908162531295
41,410,31.454112878160256,0.9812164380261142,0.05897833180140782,33.98477641615906,0.04170397835984567,1154.9650280563205,2.834600760447381,332035.0,33.98477641615906,0.04170397835984567
42,420,32.08477644050849,1.057807912212037,0.059321499113077165,34.04346044701738,0.04194663429300863,1158.957199207637,2.8560171708790847,329339.0,34.04346044701738,0.04194663429300863
43,430,32.71544000285673,1.0478103899683107,0.05947682301008244,33.98854557376759,0.042056464873861374,1155.2212302200764,2.858876146073586,326565.0,33.98854557376759,0.042056464873861374
44,440,33.34610356520496,1.0077382093410052,0.059801193282374036,34.00969098966164,0.042285829293014096,1156.6590812122722,2.8762559749939838,323434.0,34.00969098966164,0.042285829293014096
45,450,33.9767671275532,0.944977366518697,0.060115772247258975,34.011982415559686,0.04250827021230288,1156.8149478363412,2.89158107795341,320101.0,34.011982415559686,0.04250827021230288
46,460,34.607430689901435,1.0250517042673783,0.0604278651263283,34.00671730276763,0.04272895320345284,1156.4568217103556,2.906142864466016,316705.0,34.00671730276763,0.04272895320345284
47,470,35.238094252249674,1.076228815316453,0.06078527154948462,34.033944407941696,0.0429816777089063,1158.3093719628657,2.925672059409967,313493.0,34.033944407941696,0.0429816777089063
48,480,35.868757814597906,0.9130599442229522,0.0609923067070727,33.98765849688108,0.043128073672780855,1155.1609301006129,2.9316444792376064,310522.0,33.98765849688108,0.043128073672780855
49,490,36.499421376946145,1.072750268106563,0.0613783152768693,33.99610743600264,0.04340102295008015,1155.735320800234,2.950931678086682,306781.0,33.99610743600264,0.04340102295008015
50,500,37.13008493929438,0.9468318542059542,0.06169699918242785,33.979982873780195,0.043626366500755624,1154.6392361023954,2.9648463730818686,303332.0,33.979982873780195,0.043626366500755624
51,510,37.76074850164262,0.9723922635902482,0.062049036719660444,33.975969789919766,0.04387529463056499,1154.3665231655407,2.9814113697838103,299829.0,33.975969789919766,0.04387529463056499
52,520,38.39141206399085,1.0120601121213588,0.062354552256498524,33.991982372678734,0.04409132673842105,1155.4548656245017,2.997503202560853,297178.0,33.991982372678734,0.04409132673842105
53,530,39.02207562633909,1.059733289965847,0.06251044856618848,33.96060985352663,0.044201562076164776,1153.32302162345,3.002224009170141,295152.0,33.96060985352663,0.044201562076164776
54,540,39.65273918868732,1.134595106680948,0.06302055823322045,34.01569293227976,0.04456226408087188,1157.0673656631473,3.0316325826841957,291336.0,34.01569293227976,0.04456226408087188
55,550,40.28340275103556,0.9601495793081921,0.06323335455501218,33.98226601064903,0.044712733803022375,1154.794403218512,3.03888002831529,288810.0,33.98226601064903,0.044712733803022375
