,CaloNum,1A,1B,1C,1D,2C,1A_err,1B_err,1C_err,1D_err,2C_err
1,1.0,31.095384091883293,31.067764367198148,31.08086298544755,31.12087299511103,31.87141262307523,0.005465231056838147,0.00484624393818529,0.0043375945554016805,0.002529494235108012,0.0030733778922438664
2,2.0,33.438387498188476,33.414156815333456,33.44895860781391,31.372660417430694,31.16509891273462,0.008118113476599988,0.007151019853944549,0.005474261552901108,0.005331480804444776,0.003319353719000407
3,3.0,31.300604773500876,31.28362434306794,31.31349168513901,31.284770275472543,31.17959469481488,0.008444607541202732,0.0075496423419936275,0.0056484457050241365,0.006055814968220745,0.0036630949616787644
4,4.0,31.24856255551118,31.19867125026101,31.2357390266355,31.290658579745756,31.038627715038654,0.006621296020063616,0.006322508846023001,0.005018723411664214,0.004178538465926295,0.0031873443688213146
5,5.0,31.617455520492253,31.57156929893951,31.620340606790016,31.773417423732074,31.18263963501739,0.0076877725825552625,0.007522795558096854,0.006321346721810199,0.0048305063325688275,0.003846406759295647
6,6.0,31.458966893462296,31.404071055171077,31.44477644264121,31.48772328351694,31.365559151816782,0.009811188470279663,0.009673785950908332,0.008591782384268163,0.007648905649997905,0.005273741156388819
7,7.0,31.55588452119372,31.53992108160353,31.549017758066473,31.528621999321352,31.484329612065576,0.0061911304909083335,0.0057667587533896045,0.00498533012207023,0.003208459747042843,0.0032517895589681367
8,8.0,31.260445586751825,31.209402532923054,31.232173402885888,31.229846371891327,31.23674155908457,0.0060909644305719955,0.005720179123374855,0.004787675358105585,0.0030741713797798834,0.0031089722701145286
9,9.0,32.282529642721144,32.25910259319056,32.27442836596294,32.15331633988908,32.00469838978615,0.006187174336876434,0.005274039382727949,0.004788113993838538,0.0027534807358018053,0.0034530232606860144
10,10.0,31.031647898056878,30.994035302821,31.01806520720824,30.962620169277074,31.057813074795078,0.005606007032509718,0.0049687295793024,0.004401555537560011,0.002738201871245747,0.0029738964634261275
11,11.0,31.01587293592804,31.00357428217152,31.01482065546427,30.9433920192198,30.882257015328605,0.005600849010074794,0.0049604292082406146,0.00442743678957444,0.002589970491024257,0.003004676753267835
12,12.0,31.047476876791904,31.009898701980728,31.04976714662653,30.967259821900765,31.102038945626386,0.005457275993280051,0.00484631646979205,0.004265407565182547,0.0025912964439378477,0.00290358859465379
13,13.0,27.891196582353313,27.878616553487618,27.889225877810734,27.86072488249702,27.83036660130086,0.004776379325787613,0.004216869496515506,0.003941996905316231,0.002321228259749468,0.0026070651398752433
14,14.0,31.025373422947528,30.9943405106745,31.01507338953587,31.114855947236965,31.067762699412636,0.005573407550477964,0.004927263703469216,0.004473393946012719,0.0026095281714162244,0.0029403877982958804
15,15.0,30.979635411931156,30.93643777437005,30.973510186646152,30.973055477682472,30.478812426545588,0.005570428229258518,0.005212252247485437,0.004451423025823497,0.002593090363060275,0.002993148284083239
16,16.0,31.184984392077922,31.131503859949248,31.17246150985939,31.16888439607114,31.11603478976407,0.0056443984233040334,0.005144833221304048,0.004355759189176639,0.002661360051610946,0.002968527849542023
17,17.0,31.032294903427452,30.990320386017295,31.035736931964493,31.35069267151037,30.96021389860153,0.0061346867691154765,0.005889854763537171,0.00539161342107638,0.0034888068893807536,0.0031724394949267883
18,18.0,31.055507613047688,31.018433284521667,31.046102376372946,31.005674271006978,31.038949159357085,0.005621327344576738,0.00488492208504122,0.004408543758792047,0.002593628503715503,0.0029933232181475152
19,19.0,28.100052106737536,28.061369888882314,28.10112556715867,28.073579436615223,28.02182758270226,0.004806000685656199,0.004477093613958226,0.003919181418014913,0.002256597608655166,0.0026061697186023016
20,20.0,31.289563385855843,31.253496113833258,31.27930762744742,31.29663144260625,31.25258457985084,0.005477978887852363,0.004941334752469218,0.0044625930345120815,0.0026738977731795006,0.002911116988186268
21,21.0,31.089044650485654,31.04239920450301,31.075852126472597,31.110862967199758,31.12058168599456,0.006296376150531305,0.005642104908186582,0.00496714714179064,0.003594843961514033,0.0032850983960617747
22,22.0,31.43808291083216,31.388347280563817,31.45305575505606,31.496570494840025,31.24301832221464,0.005846142626065777,0.005144115253404331,0.004597838986854167,0.00274568129798518,0.0030135066742960244
23,23.0,31.165609163508588,31.112412401607568,31.151290649367716,31.187020261244285,30.933925083330905,0.005770991775370088,0.004990100227544806,0.004379900148029141,0.0027697469213353214,0.004365950874398514
24,24.0,31.617843430497846,31.573779678407238,31.606144621115856,31.612619827636067,31.046706072947412,0.005672038877576183,0.005004585770954663,0.004444123176044344,0.0026522879539537182,0.0032894144809233984
