,set,caloNum,energyLim,fitLim,c,m,c_err,m_err,redchi
184,1A,17,2500-2700,30-200,-1.0016718619273721,-0.0015787197517721366,0.06168805503340855,0.0006746393856274961,0.9548914509070814
185,1A,18,2500-2700,30-200,2.136003048197073,2.1747702916012147e-05,0.04868204774249674,0.0005331576627936584,0.9503118217829111
186,1A,19,2500-2700,30-200,-1.82611100761119,-0.00041043764584316995,0.050462208654771315,0.0005524090051928896,1.0751149049462343
187,1A,20,2500-2700,30-200,3.4548297736353084,-8.66817143966881e-05,0.05717088299478622,0.0006254643149370315,1.0273528077100322
188,1A,21,2500-2700,30-200,0.2308818884757589,-0.0010224322659117481,0.07369989946430267,0.000806972161547438,0.9839863013722562
189,1A,22,2500-2700,30-200,4.677225464357757,-0.002787843058296771,0.0862819211102299,0.0009442812611003783,1.066144458771133
190,1A,23,2500-2700,30-200,-0.7423907384185782,-0.0002903398059723775,0.0637666598211065,0.0006978901860702358,1.0141582547219337
191,1A,24,2500-2700,30-200,1.4639479822145662,-0.000503235782376725,0.06363622574051081,0.0006958792768142581,0.9608274430717515
192,1A,1,2700-2900,30-200,1.0011373273529887,0.0001396251698337714,0.07625207442384697,0.0008338825966991409,0.9940993573736705
193,1A,2,2700-2900,30-200,-5.190145513379854,0.001543941408831023,0.15173384550096736,0.0016597798006243634,1.1736124430374426
194,1A,3,2700-2900,30-200,9.948357304205107,0.0004205681152718803,0.13083858945821367,0.0014391175670990441,0.8354725583610462
195,1A,4,2700-2900,30-200,0.5482028158622958,0.0007709316361614886,0.1288043910845938,0.0014081393348882732,1.0902949395146462
196,1A,5,2700-2900,30-200,11.687867361780317,0.0012219599274136369,0.21309512864252864,0.0023379836776773986,1.1408149123448177
197,1A,6,2700-2900,30-200,0.6854983194362508,0.0015170944538128515,0.12411534354546758,0.0013574133991497222,0.9455585748795208
198,1A,7,2700-2900,30-200,3.773246502023361,-0.001131712503730412,0.10396116209147083,0.0011377127449554792,1.24011203973165
199,1A,8,2700-2900,30-200,7.630565166852418,0.0010302857766764342,0.13948420433682462,0.0015276767312578773,1.0691109151104206
200,1A,9,2700-2900,30-200,-6.208410208363703,-0.0012888579566269003,0.1268100771677737,0.0013845393899485654,0.9794284222609575
201,1A,10,2700-2900,30-200,5.437703887356324,-0.0027189855052133366,0.11970170719836765,0.001310448593030573,1.098943195692642
202,1A,11,2700-2900,30-200,-1.7506076459203495,-0.0015633665673154204,0.0981434699560734,0.0010753743143438565,1.1052022987561012
203,1A,12,2700-2900,30-200,2.102314065536014,-0.0002207280659479716,0.07299239500388287,0.00079705387271058,0.9049620643607141
204,1A,13,2700-2900,30-200,0.6895366181435318,0.00015637766162834437,0.06281184270911885,0.0006852043734245679,0.8964512044269937
205,1A,14,2700-2900,30-200,-2.2535020308457043,-0.0009137304314776139,0.07055992309129551,0.0007724762964510645,0.8468669450677601
206,1A,15,2700-2900,30-200,0.6149373870167429,-0.0018607640761592098,0.12781547497356355,0.001401713883562034,0.9912339493847364
207,1A,16,2700-2900,30-200,-3.8732119862314662,-0.0005092011277305508,0.11528623435069386,0.0012612999862687158,0.9840452684220012
208,1A,17,2700-2900,30-200,-4.425230585793937,-0.004705635025355917,0.11492851722740428,0.001255726483910139,1.0574138017631063
209,1A,18,2700-2900,30-200,3.0301680142364624,0.0007798155340826193,0.06496307756976957,0.0007097340169600765,0.8542445922238037
210,1A,19,2700-2900,30-200,-0.5665147153502041,-0.0010130189847062003,0.06815402931691704,0.0007463862827698654,0.9605300451643295
211,1A,20,2700-2900,30-200,6.143513753515057,0.000359638658192761,0.08488031202113716,0.0009275130159309442,0.9205295979708435
212,1A,21,2700-2900,30-200,-3.411560810322537,-0.0019472980393380752,0.13156485481307917,0.0014429167977522176,0.9548765371071782
213,1A,22,2700-2900,30-200,6.915686720816713,-0.0005689230526581456,0.15815330344861722,0.001733001526718456,1.0969443081071484
