,CaloNum,1A,1B,1C,1D,2C,1A_err,1B_err,1C_err,1D_err,2C_err
1,1.0,33.038209234086,32.96857032393159,32.94586821701329,32.97065824889183,33.222750020508045,0.006299501190409789,0.005630384457679162,0.0050108660831557445,0.003729938387687548,0.0032035024800301285
2,2.0,35.201055242730554,35.14942119346392,35.157924339081426,32.95492417285049,32.173368975725694,0.006640361023676166,0.005869499504892562,0.0052425035590017285,0.0038672862158320447,0.002928937784635235
3,3.0,33.23904517953188,33.1884921606045,33.123078350670966,32.94026908293171,32.28596389716811,0.006454708748369576,0.005640377716884408,0.004932900554166999,0.003983246176865979,0.0033495730109754556
4,4.0,32.997522268951634,32.947557239444116,32.82399595166477,32.833490858126765,32.16661556835598,0.0069165312836084744,0.00687567342365292,0.00508141929882559,0.0038599187211270647,0.0031273758078793857
5,5.0,33.080212709161025,33.029675278614484,33.010720974521384,33.048054711627195,32.296689182778074,0.0062912773270894585,0.004878021549471027,0.005499391307456062,0.0047585453257932234,0.0034267009278378946
6,6.0,33.09956658667662,33.038804348389654,33.021850042450794,32.96465301817578,32.38334535255997,0.005907555202503157,0.0053219131401207286,0.004897827746036836,0.00424226495264465,0.003185508599454475
7,7.0,32.957949835436466,32.904410731405896,32.89405489096763,32.788763110942575,32.33079190317984,0.006072322522519558,0.006056341670611645,0.005154486153495879,0.004028149974165995,0.003226406529109876
8,8.0,32.7178292236471,32.653506833322396,32.60440413916665,32.509794219074216,32.182319818294346,0.00577276376283681,0.00579960832386269,0.004833373532078787,0.004112883159377184,0.004273916466412364
9,9.0,33.91362801173743,33.848471818412285,33.81345975891746,33.650646487824396,33.149681314770824,0.00615173840826133,0.0057567649056667865,0.004740349241652295,0.0036021775853748547,0.0035272309963005543
10,10.0,32.79303906235346,32.74054094574858,32.67885097701519,32.57587227067358,32.196690084660304,0.00627574014936288,0.005320154283852024,0.004798722284413646,0.003768747568822562,0.003217373985842217
11,11.0,32.94639620293715,32.92019091394002,32.874001181568566,32.79001287741023,32.37737609811233,0.006297576223266952,0.005407319353910362,0.004589079311758032,0.003253403895886979,0.0035413930941116463
12,12.0,32.77668495672457,32.73892225974847,32.707331606039496,32.59470482743839,32.40563592054703,0.006404085323355901,0.005979574881932724,0.004911362155496991,0.002866568461790651,0.0033580681468079253
13,13.0,32.56007723865041,32.53713108292146,32.47150203747017,32.31550794775644,32.00240303416691,0.005896431017635341,0.005032467464873267,0.005034297724114465,0.002989904035326245,0.0035011436687737213
14,14.0,32.49382952944776,32.45222108797594,32.41549196426835,32.43269722012602,32.03860649383389,0.006347187650678429,0.005494407299506474,0.004825878988070176,0.002785586739998203,0.0031276578568423187
15,15.0,32.69251139767162,32.65088557423081,32.64050370482798,32.55376061777795,32.09016705640256,0.005964621788846421,0.00531384372911437,0.004952096062006657,0.0027236475492327912,0.0032133500689875616
16,16.0,32.962592789296984,32.913558690014604,32.8798141425139,32.76236929179397,32.3469674908848,0.005616154601970906,0.005211814424889836,0.004657129472757409,0.002976376583560326,0.0032619333628683272
17,17.0,32.93394085941607,32.89644651980482,32.85379402323537,32.83918955472789,32.214779770129404,0.006517082154740559,0.005493896336209263,0.00486998563277947,0.002704271366386529,0.003429577230134481
18,18.0,32.69155722872435,32.63440922015572,32.58936173807929,32.44359519651984,32.14540804795235,0.005571032455299596,0.005348578226137615,0.004857875428718897,0.002806670706497011,0.0031842749959475674
19,19.0,32.841143050691784,32.7828753712433,32.77644435378802,32.71390464079081,32.213310331313224,0.00600815757222051,0.0056109743186581445,0.004455769548164455,0.0028500911208819662,0.0031523287290109244
20,20.0,32.592694621820755,32.566333246984854,32.501880992412815,32.46196250320833,31.93811765646242,0.006125590142950909,0.0057908137614066275,0.00443495313104871,0.003004969935564986,0.003306158013156663
21,21.0,32.85876883863659,32.80324056689815,32.80845084336083,32.836008757183464,32.296673200842505,0.006349296126527943,0.004895569381273307,0.004785013224560148,0.0030531461377895147,0.0030591238625353057
22,22.0,32.81003849210531,32.748546045135605,32.75690039241061,32.835035099758535,32.167109239873426,0.005961138947181494,0.005136645982848901,0.0051335742429044345,0.002942456486413375,0.003447678531736722
23,23.0,33.067160156081385,32.99820652267725,33.006421731850715,33.03816143654425,32.4594756004298,0.006500726137743819,0.0057637039844216365,0.005025027207310773,0.0038775965822021178,0.0032209208483839373
24,24.0,33.546897632247386,33.463745980471074,33.4641076846494,33.51009947114093,32.231059403395754,0.006648420766266827,0.005503511765324961,0.004876208220539448,0.003446864139706356,0.0033049849512456464
