,mean,error,caloNum
1,0.2558042320824692,0.04131827252292121,1.0
2,-0.26790799425405654,0.049014057265392375,2.0
3,0.9046735331068114,0.041876346605433344,3.0
4,0.38674298214717917,0.04248825888706371,4.0
5,1.8348113925211005,0.04314670905929064,5.0
6,1.2058796460715357,0.042823217148043866,6.0
7,1.5554310323979588,0.04282039851269083,7.0
8,0.40440843876110116,0.042356384466517676,8.0
9,-0.11134375607209994,0.04484097182559607,9.0
10,0.1705702688962266,0.04174437553795459,10.0
11,-0.003889101615243021,0.04127793888991436,11.0
12,-0.162888320149474,0.040967149325599035,12.0
13,0.45001731342279094,0.038041234663177007,13.0
14,0.28898363161112295,0.04153952812375001,14.0
15,0.36297704200368835,0.041714263370913135,15.0
16,0.08600317848174661,0.04240101545318628,16.0
17,0.8135616265906785,0.04169235465655705,17.0
18,0.9655006743669613,0.041068139321688735,18.0
19,-0.12308242547708627,0.038442772475042325,19.0
20,0.36434690763944666,0.04189407407066439,20.0
21,0.494067144998213,0.042405910091437946,21.0
22,0.9244406855550173,0.042837323423579994,22.0
23,0.17548083533089004,0.04145290848310992,23.0
24,0.632030903480349,0.0426906658285433,24.0
