,c,m,c_err,m_err,redchi,caloNum
1,32.32594164778567,-3.72813356683821e-05,0.004196411893267951,3.977990140910846e-05,0.7238277200359674,1.0
2,32.26226083830193,-6.741088370720849e-05,0.003803999340637368,3.6059022071657065e-05,0.5941445229914476,2.0
3,32.14163616616545,-8.974611679612998e-05,0.00394548141553051,3.7401276660703566e-05,0.6229766170076547,3.0
4,32.159274024469084,-0.00011429002736895733,0.0040333637308346435,3.82333554785767e-05,0.6588984349552155,4.0
5,32.296601984236936,-1.5182433273697171e-05,0.003950689988275982,3.745618827557095e-05,0.6331308777210953,5.0
6,32.41941390740234,-0.00014601401521585622,0.0040354683412454325,3.825207393680765e-05,0.6577968556323797,6.0
7,32.38497756412472,-0.00020298590727696464,0.004141265767588867,3.925388814933566e-05,0.6966258431267867,7.0
8,31.94566219262358,-4.198389364462596e-05,0.004060650380181386,3.848611288413653e-05,0.6814368436538557,8.0
9,33.11892786238141,-4.4546154040481234e-05,0.0040413065456327245,3.83128800445955e-05,0.6002344278110011,9.0
10,31.883310880881083,-3.988204739058254e-05,0.0037577486277876417,3.562465740650849e-05,0.5940428020191572,10.0
11,32.28068962590315,-2.5205807614003817e-05,0.003815317795397886,3.617550782671615e-05,0.6066650695901437,11.0
12,32.03224864693094,3.0351766301395244e-05,0.003967441654759107,3.761659209012835e-05,0.6648041566067445,12.0
13,29.512940905982195,4.047800628526055e-05,0.003606169459429179,3.419804742431772e-05,0.6164312754089039,13.0
14,31.92625570047294,6.15666715675367e-05,0.003771822960889568,3.5761993159161524e-05,0.6003219757898822,14.0
15,31.896685952920045,1.0902913187393892e-05,0.004100729683036329,3.886537500863174e-05,0.6980424595880691,15.0
16,32.043494481241964,-1.6586187120526397e-05,0.004158131287976274,3.942292775151622e-05,0.7166273949876766,16.0
17,32.557866294110305,9.170592657148369e-05,0.003970864207984898,3.7663474086469214e-05,0.6193437004774891,17.0
18,32.0993113543031,-1.0813352700256296e-05,0.004270257318077916,4.049252350176479e-05,0.7486234922327788,18.0
19,29.880601258540356,-3.1339677875497074e-05,0.0036202459587206712,3.431939708254198e-05,0.5941099265874636,19.0
20,32.040230516813395,-7.049125686287017e-05,0.003843395548067954,3.642771719083381e-05,0.6090631822181676,20.0
21,32.05239639098531,-6.469604515180194e-05,0.004069352670596981,3.857644163367392e-05,0.6818668459927063,21.0
22,32.232820936155676,-1.7821895379244168e-05,0.003954285931767676,3.748854011939778e-05,0.6267512838350371,22.0
23,32.24273317201743,1.7736058710360325e-05,0.003799121031968277,3.603082229087242e-05,0.5803828045105376,23.0
24,32.77882185555911,7.610534416668813e-06,0.0039550957166914116,3.747743199693175e-05,0.5937219582958555,24.0
