,c,m,c_err,m_err,redchi,caloNum
1,33.24236758538407,7.558394346207642e-05,0.008591622118571129,8.147234043747635e-05,0.6247617411198391,1.0
2,35.2367241029673,-8.535105273455024e-05,0.00962647759734141,9.12182338098295e-05,0.6370994892246792,2.0
3,33.17821443958155,-0.0001572870907666779,0.008817574399167027,8.355214050922008e-05,0.6603806190424072,3.0
4,33.00711195274737,-7.12709287147284e-05,0.008153652554698947,7.725431280809956e-05,0.5619184749844061,4.0
5,33.01297906369756,-3.300629329072713e-06,0.008762703413699287,8.30623802879109e-05,0.6557892092696213,5.0
6,33.19155278758834,-4.4902848280847785e-05,0.009075558697146392,8.600792543731632e-05,0.6949673370950862,6.0
7,33.14761925098537,-8.654002684360673e-05,0.008459923575246836,8.019717211016796e-05,0.607561654380453,7.0
8,32.916933358524744,-9.273779567642304e-05,0.008495866987454909,8.0526060543749e-05,0.613845507083643,8.0
9,34.080012270268384,-9.276138670943901e-05,0.008766683050030985,8.307494776757587e-05,0.5815663713370004,9.0
10,32.95145140941666,-6.086960457740709e-05,0.008495156108070532,8.051389189419051e-05,0.6283662833398483,10.0
11,33.2825719952779,-8.063360047194656e-05,0.00878084126439985,8.32483058185346e-05,0.6549839984955496,11.0
12,33.05842916527881,-0.00013567007080006466,0.00826586440730826,7.832857997550638e-05,0.5829507096399014,12.0
13,32.49249019992111,-4.5880420353472395e-05,0.008674799860730427,8.224204916581037e-05,0.6673871263167616,13.0
14,32.70110765688058,-0.00010052443472174932,0.00900479796157413,8.535350150221243e-05,0.721879275634893,14.0
15,32.83495545692538,-0.00016069040744248753,0.008892888392553347,8.42513073744801e-05,0.679012952800957,15.0
16,32.977493160099144,1.4262503281514682e-05,0.008680713249017792,8.229629647649178e-05,0.6503319521549965,16.0
17,33.31377141830504,-6.401741458872401e-05,0.008759673476876891,8.30047614160235e-05,0.6379931548647698,17.0
18,33.091091714473606,-8.43671577138716e-05,0.008840766515029708,8.376753814901076e-05,0.6553921715045149,18.0
19,32.864784476448975,-4.795113466604661e-05,0.008837602243516885,8.378994408010945e-05,0.6652551268468677,19.0
20,32.86196690870204,6.704615732178176e-05,0.008317745222117754,7.882621171488169e-05,0.5939185844115716,20.0
21,32.95364173629021,-5.035112266571495e-06,0.00863859510945066,8.186939642701277e-05,0.6381514896897262,21.0
22,33.1152619809562,1.2224132350802108e-06,0.008448475731081399,8.010982119882128e-05,0.5956371897522873,22.0
23,33.18582050206031,2.1414121077922843e-05,0.008754086789273146,8.299361041711622e-05,0.6267571907049535,23.0
24,33.64710709009984,-6.473143105834023e-05,0.008863430996808924,8.401190956653151e-05,0.6115924722021713,24.0
