,index,TimeBin,Mean,MeanError,SD,SDError,Var,VarError,Npoints,RMS,RMSError
0,0,5.596906821882588,-1.2938510526825848,0.03795938329758477,32.02888058385099,0.02684133733938156,1025.849191454587,1.7193959767078253,711943.0,32.02888058385099,0.02684133733938156
1,10,6.227570384230825,-1.3719463266761747,0.10759039907605088,32.22830850107093,0.07607790077724244,1038.6638688402006,4.9037241127256666,89728.0,32.22830850107093,0.07607790077724244
2,20,6.858233946579061,-1.1686985247025223,0.10823871389463026,32.290530994332954,0.07653632858180365,1042.678391895977,4.942797380526363,88999.0,32.290530994332954,0.07653632858180365
3,30,7.488897508927296,-1.1979044292744876,0.10856957352332754,32.24095918998305,0.07677028166887634,1039.4794494901523,4.950295036579491,88186.0,32.24095918998305,0.07677028166887634
4,40,8.119561071275532,-1.0695869663389743,0.1102498591211465,32.39939304777928,0.07795842300942424,1049.720669864488,5.051611176934752,86361.0,32.39939304777928,0.07795842300942424
5,50,8.750224633623768,-0.9851286488023987,0.11169281760298677,32.44421620225931,0.07897874873690412,1052.6271649789455,5.124807198808064,84377.0,32.44421620225931,0.07897874873690412
6,60,9.380888195972004,-0.8527779428367707,0.11212825994502192,32.52589382700219,0.07928665296977294,1057.9337692454194,5.1577385127864055,84145.0,32.52589382700219,0.07928665296977294
7,70,10.01155175832024,-0.8537439846005765,0.11253046795068761,32.4431408586426,0.07957105697802666,1052.557388773725,5.16307001961839,83120.0,32.4431408586426,0.07957105697802666
8,80,10.642215320668475,-0.8060904710465996,0.11296393340994793,32.42497822770251,0.07987756334367976,1051.379213066982,5.18005650460149,82391.0,32.42497822770251,0.07987756334367976
9,90,11.27287888301671,-0.8036720125171094,0.11330234249881418,32.40684683970822,0.08011685470523228,1050.2037220923069,5.19266927942324,81808.0,32.40684683970822,0.08011685470523228
10,100,11.903542445364947,-0.5244835701211527,0.11434563114861575,32.40463192489379,0.0808545711842419,1050.0601701878459,5.2401252373409655,80311.0,32.40463192489379,0.0808545711842419
11,110,12.534206007713182,-0.3546563872792555,0.11406731074904262,32.24313859931632,0.0806577689423612,1039.619986734722,5.201319246240367,79901.0,32.24313859931632,0.0806577689423612
