,c,m,c_err,m_err,redchi,caloNum
1,32.040877221012046,-0.00019175104851387736,0.016296456889739488,0.00015448015810264642,0.6693457068216281,1.0
2,34.320930875454025,-0.00037443296169670237,0.01686554280510894,0.00015977364440351394,0.5431219445228824,2.0
3,31.98130865336929,-4.162676048968805e-05,0.01732397474195285,0.0001641798249908403,0.7439361136750646,3.0
4,31.91621335603334,-0.0004882918465218822,0.016442471351718037,0.00015569308198163948,0.666610717473664,4.0
5,32.05626232000205,-0.0003823837611051095,0.01633934661255971,0.0001547069116013079,0.6624329854132761,5.0
6,32.23861198892318,2.9601263848100245e-05,0.016843123070464337,0.00015966284939007168,0.6886742146887627,6.0
7,32.24551863805005,-0.0001985785505246307,0.01664017216268576,0.00015775478707036341,0.6772395788562728,7.0
8,31.777935092138804,-0.00024750787493188486,0.015544999948478407,0.0001472949409551534,0.6029158290696052,8.0
9,33.05779304457974,7.4299953665146745e-06,0.01578377454998197,0.00014953188277827743,0.5433652033745359,9.0
10,31.714027838813045,-0.0002004719370981567,0.016411200227244627,0.00015552555611927533,0.683387708523615,10.0
11,32.08833028640516,-0.00019000019195081208,0.016118140040337417,0.0001527547528870671,0.6574712212711001,11.0
12,31.87298260414047,7.683076434372715e-05,0.01610637714378604,0.00015285013630187845,0.6624756380966939,12.0
13,28.70039293789526,-7.565341489024213e-05,0.014453140434001508,0.0001370268913445826,0.6202620089374802,13.0
14,31.621552125046726,-0.00012054063087163502,0.01683740909596479,0.00015956963128150524,0.7353797462471056,14.0
15,31.72406117813394,-0.00023148610324319474,0.017047399051294407,0.0001615367218512308,0.732477863803392,15.0
16,31.844460955966003,-0.0003436762165145435,0.017749730280245266,0.0001682246574558712,0.789548963657187,16.0
17,32.04189144444691,-8.290394737420215e-05,0.015363823413508115,0.00014564613777182914,0.5851196891208896,17.0
18,31.834884923698723,0.00019956558843636785,0.016782307691400336,0.00015916683784042895,0.7099124301470048,18.0
19,29.04889015289952,-0.00033687364919854357,0.014624032236100006,0.00013856161613155148,0.6123051522629728,19.0
20,31.76762950641447,0.00018253685865388114,0.01600913385051412,0.00015189626557083062,0.6449151130825919,20.0
21,31.80935845603296,-3.575539302225206e-05,0.016761513525053343,0.00015896520133272193,0.7023829880555487,21.0
22,31.976502694244225,-0.00023276032343344522,0.01572869640799395,0.00014900963600446393,0.6061320179939955,22.0
23,31.952301368116853,-0.0002509530444640973,0.016633981758379303,0.00015759040182119767,0.6862599410806574,23.0
24,32.49887311158063,-7.056223122658967e-05,0.016484833057521794,0.0001562982601527446,0.6347414212666717,24.0
