,caloNum,a,a error,b,b error,chi2
0,1.0,-0.001176487368990726,7.436975789885916e-05,1.1243492908274673,0.00692627742512097,1.1306912425807005
1,2.0,-0.0010097628422420677,7.80024032388756e-05,0.8043211442634005,0.007265730997920244,1.1471028591652574
2,3.0,-0.0011889829304315975,8.776436606224873e-05,2.082231074282238,0.008174652829759224,1.4725136507937486
3,4.0,-0.0011926218461660058,8.51032430277693e-05,1.404302558222898,0.007927513716175914,1.3742559894140562
4,5.0,-0.0013117104764927428,9.074759956338472e-05,3.248159512414157,0.008452268783433145,1.4655298311419593
5,6.0,-0.0014853603994240986,7.978349352052592e-05,1.9968763260822262,0.007431160817623522,1.1766944746704628
6,7.0,-0.0015373377233760155,9.489180341056859e-05,2.7102586356734895,0.008837738279802351,1.6908967334860336
7,8.0,-0.0015943112306694809,8.888017503392018e-05,1.5853529844156198,0.008277134400736623,1.5160792949561914
8,9.0,-0.0014174877723120603,0.00011663149501136084,0.9380006393491933,0.010859674376315872,2.339991482151124
9,10.0,-0.0017152321828358941,8.562003533492242e-05,1.264143886043272,0.007972745283071962,1.4444568537634657
10,11.0,-0.0017963273665728436,7.658604038277797e-05,1.0200906503353888,0.007130801549064195,1.1871681376135876
11,12.0,-0.0016284899357930237,6.932136668737301e-05,0.7725866004347681,0.006454547637480705,0.9921605950072082
12,13.0,-0.0012666425035463837,9.047875224704923e-05,1.1347605166161998,0.008424074155389594,1.9252428819172251
13,14.0,-0.001663287421596035,9.678584914307447e-05,1.2483170080844144,0.00901108633560905,1.823861113893931
14,15.0,-0.0017395408833948782,0.00010233769554112896,1.4584777035653123,0.009528959589156023,2.067236442968078
15,16.0,-0.0016010004039956644,8.011420966157427e-05,1.1770676236620203,0.007460147501198824,1.2239822643031295
16,17.0,-0.0014468109202860598,9.035334536671931e-05,1.5372899538726874,0.008412915111609761,1.507229577066657
17,18.0,-0.001614593043212854,9.86096404155274e-05,2.017995203565956,0.009182490785700015,1.991526811678068
18,19.0,-0.0010599556089436447,8.692562428030185e-05,0.6351978011744548,0.008094808885376661,1.7289404623117302
19,20.0,-0.001575032521610226,8.257006850479497e-05,1.3492404835669207,0.0076902409029757255,1.325265883848282
20,21.0,-0.0014904099335073442,0.00012205430056694409,1.5442761612726583,0.01136841097567319,2.8171713876286772
21,22.0,-0.0015852104227271706,9.079195127927445e-05,2.043428478256176,0.008456964915598927,1.5298528390710515
22,23.0,-0.0012827702188987309,7.198669856383013e-05,1.1401920447657823,0.006704981697257298,1.0256734945910773
23,24.0,-0.0012301793684870077,9.730769578367462e-05,1.5606237814108426,0.009063633129377633,1.7961732286898993
