,caloNum,a,a error,b,b error,chi2
0,1.0,-0.0010877535908256626,4.820664213522643e-05,1.0279051335571696,0.004506266109955994,1.9233167813854384
1,2.0,-0.0009712585416294687,3.5552699975741785e-05,0.6891298709352511,0.0033233749349466032,0.9729944889335558
2,3.0,-0.0010148867241393058,4.830909801999895e-05,1.9694509208585091,0.0045157570858767844,1.8065441795832007
3,4.0,-0.0011667673677264445,3.7711550957110256e-05,1.3101834450597398,0.003525538788371148,1.092801185427706
4,5.0,-0.001309596718450567,5.8610269745024124e-05,3.123937856881704,0.00547875082985969,2.4810016612178623
5,6.0,-0.0013757524403215456,4.3517646724573366e-05,1.898685745616212,0.004068351006685066,1.4191236206873887
6,7.0,-0.001402623645932891,5.385445091161031e-05,2.5979230136896847,0.0050345693928802995,2.204226901086344
7,8.0,-0.0014574518142058128,4.409022333466985e-05,1.4681381154165805,0.0041216664496967976,1.510516790914834
8,9.0,-0.0012780729138449308,6.633120517294241e-05,0.8350897912798387,0.006200133308637602,3.0646074485296966
9,10.0,-0.0015014875555182496,4.8003693909545575e-05,1.1412161263618035,0.004487235064489895,1.8381460131643788
10,11.0,-0.0015641635816787342,5.6709468403751884e-05,0.9053938884301572,0.005301241681464574,2.633053033320333
11,12.0,-0.0014685840334342107,5.0526100217695264e-05,0.6712702364768018,0.004722831826698201,2.1325783737563997
12,13.0,-0.0011679486206318188,4.507479846511243e-05,1.0606046166090368,0.004213076357993862,1.9337042688285058
13,14.0,-0.001445938476648694,4.909791119114875e-05,1.141091694320202,0.0045886993432762814,1.9137699341161405
14,15.0,-0.001549684982693478,6.72391878396085e-05,1.350495602730111,0.006284080574650207,3.6132542632719167
15,16.0,-0.0014694747400605878,4.345966003600132e-05,1.06904791767217,0.004061820954747295,1.4586023263775496
16,17.0,-0.0014040040263255096,4.211882439749737e-05,1.5542377295864782,0.003936542024355356,1.3527228770236839
17,18.0,-0.0013389336829740224,5.20761211887053e-05,1.9077940020977577,0.004867296142014034,2.247607594752364
18,19.0,-0.001014143839618331,4.3740796871548475e-05,0.5666540089153785,0.004088387994111903,1.77270221795088
19,20.0,-0.0013887885963855292,5.840995069293087e-05,1.2399753165816845,0.005459960050825844,2.6857422800701563
20,21.0,-0.0013063643169136997,6.311238002983331e-05,1.4344439922304641,0.005899293554474858,3.0516145788433726
21,22.0,-0.001236763135394001,4.572847477623072e-05,1.9177701086053665,0.004274835242219867,1.5718536654151718
22,23.0,-0.001265076899059306,4.776060809499117e-05,1.0534698860055218,0.004464304774670296,1.828103991600144
23,24.0,-0.0010475901320871415,4.1128273763974296e-05,1.4571394728177927,0.003844559469082077,1.2993569808665428
