,caloNum,a,a error,b,b error,chi2
0,1.0,-0.0004048247987125708,7.845619407274696e-05,0.5689911164758523,0.007304786751744504,1.2726739846608617
1,2.0,-0.0002935814163633571,8.34734510822058e-05,0.06474717971986854,0.0077730082247305776,1.0042782622450097
2,3.0,-0.00031011485345277363,8.264972778862739e-05,1.4589797449254602,0.0076962648934017185,1.335670608691787
3,4.0,-0.00037764510888289046,9.069096860821387e-05,0.7950261719012339,0.008446143183752409,1.5787382290999725
4,5.0,-0.00045788816160872883,6.765560897558535e-05,2.406048642819365,0.006300516617064782,0.8381034327359613
5,6.0,-0.00044416664608867395,6.540729280427691e-05,1.4533858534540816,0.00609079798389418,0.8044407513458758
6,7.0,-0.0005421103082962934,8.168320389460453e-05,2.0280866898793293,0.007607166036684782,1.2632853159297077
7,8.0,-0.0005715874934781649,7.616695987290058e-05,0.908040647860579,0.00709358330017804,1.12468706160184
8,9.0,-0.0007556920897896521,0.00010861624928853666,0.3842693958075256,0.010114113719191336,2.014082256264233
9,10.0,-0.0008116217461541776,8.326496383058265e-05,0.6666086881688079,0.007754434327979251,1.3720898051929697
10,11.0,-0.00084270845168258,8.00940362610397e-05,0.47024620853291565,0.00745916588000999,1.2948389874874513
11,12.0,-0.0007344560560766331,7.034778098058638e-05,0.2803522165137575,0.006550974758798222,1.0187519187610685
12,13.0,-0.0005725763879585899,7.410936735714253e-05,0.7498188256645447,0.006900945329984467,1.2927851293199708
13,14.0,-0.0006895442198735391,9.708032059475341e-05,0.7272318374743428,0.009040813753418022,1.885325544422553
14,15.0,-0.0008621885929613578,9.18740526695148e-05,0.9636096528246494,0.008556322091796057,1.6805096675527098
15,16.0,-0.0008826265009792058,9.210203738289185e-05,0.6717662622795894,0.008578647331182843,1.6310335913405662
16,17.0,-0.0008663109195588958,7.998436629502286e-05,1.4128403595656347,0.007449215746009469,1.2653929896633687
17,18.0,-0.0008288873273655936,7.932632278986854e-05,1.5750288724994623,0.007388412994655639,1.2922286705208266
18,19.0,-0.00040742150185661376,5.9974936717905125e-05,0.29240964898199906,0.005585812536855342,0.8292027756974613
19,20.0,-0.0007867662166000538,7.47390157382602e-05,0.8582916277040823,0.006961320059911957,1.0948814374054339
20,21.0,-0.0006057398343161731,7.724286312840396e-05,0.9771397659485763,0.007194530932599282,1.1445507526351142
21,22.0,-0.0005817292752451174,7.521263059751816e-05,1.5040018198909877,0.007006157460794381,1.0635804259273645
22,23.0,-0.0005867580707294216,8.507797728598623e-05,0.6120871338144679,0.00792353306705486,1.4515693114088075
23,24.0,-0.0005445567802279062,6.473277208321239e-05,1.0264882001297024,0.006028261126629547,0.8020866896031208
