,caloNum,a,a error,b,b error,chi2
0,1.0,0.021903716385324012,0.01666545041827799,919.4754406022204,1.3458767127203795,2.009593263054096
1,2.0,0.030503178868433636,0.019271904686147243,929.9285179275985,1.5558206054492778,2.5185120597798627
2,3.0,0.023739752655999223,0.014743892952116828,937.6680248406749,1.1907267517571365,1.4413269746431923
3,4.0,0.01272111326544374,0.01565273690273948,937.6699120056722,1.2644559675485316,1.6127516967846889
4,5.0,0.019601442126798263,0.015361009965988591,967.471754701004,1.240873272504966,1.4306601080074524
5,6.0,0.017805865298433775,0.019771885507037835,944.0531215574955,1.5969317448305356,2.5415637318418085
6,7.0,0.025274348779276094,0.019856257516179032,948.8118685062176,1.6033475850220407,2.530807864524156
7,8.0,0.0018242294257714488,0.018418889622211686,934.3686859700023,1.4883090950030513,2.268460780535532
8,9.0,0.015928188497677985,0.017334675085516074,986.7820685357625,1.400274689955223,1.7058579565240943
9,10.0,0.002909171409212789,0.014809823046530366,914.8485351591264,1.1967927053730467,1.5401694551343883
10,11.0,0.0030695016199187254,0.019023371570782786,912.3854438999169,1.5372878976874762,2.612080730658481
11,12.0,0.02254993495562967,0.016806059125960438,912.0531066040911,1.3572275140765884,2.0828216399791786
12,13.0,0.02101846673210704,0.013284333108212979,746.4878452436121,1.072532435126073,1.8097825302261905
13,14.0,0.015087881757591081,0.016427577288246946,910.5693647098122,1.3269918056283274,1.9314960600922182
14,15.0,0.03135447863988082,0.017474590803135934,911.9178045675488,1.410896897017005,2.1535663522043946
15,16.0,0.032668250164404285,0.017864172262288286,921.9194053525521,1.4423540529490806,2.1515642944711875
16,17.0,0.02406320978768338,0.01783056145362675,914.1323661471564,1.4399334282299394,2.22787543807098
17,18.0,0.022946763801424058,0.016835632135174566,909.259468898869,1.3596208353775863,2.08383929751655
18,19.0,0.024291370507026944,0.012933426305657246,761.5404481362326,1.0442812576387464,1.6406007349960252
19,20.0,0.0330770568856107,0.01631201395749301,928.3529309431868,1.316835334826983,1.8161027609804783
20,21.0,0.03856574144209234,0.018429909247579906,924.3845564032197,1.4879023528386597,2.2645169469115496
21,22.0,0.01630599040818848,0.015636698914842508,946.3329334532333,1.2627959881233384,1.567519416869244
22,23.0,0.01710499860190551,0.01857811533178603,926.747493990465,1.500391911872011,2.4009492976956497
23,24.0,0.02741919955819735,0.017383293693491307,949.4653422135796,1.4036824138301591,1.9626677962382282
