,caloNum,a,a error,b,b error,chi2
0,1.0,0.019626362368669888,0.011362765253764921,919.6149283906259,1.0575541577746743,1.7364100004874148
1,2.0,0.028040192160807838,0.012351371323664973,930.0893503515271,1.1490744346890145,1.923081604730018
2,3.0,0.01825705705192934,0.009962459954253171,938.0110144492543,0.9272566317030516,1.2235109324609335
3,4.0,0.008635197955460064,0.011391575301914012,937.9340258034337,1.0605978263943039,1.588357058657225
4,5.0,0.012278367662687896,0.010924725943536929,967.9331380460558,1.0172583801824655,1.3465633132005403
5,6.0,0.005924658007398662,0.012962172422574705,944.7938981407563,1.207080034783185,2.034793879049387
6,7.0,0.010206878672046032,0.01301689184277842,949.7710166167608,1.2119025173235982,2.0264361207809554
7,8.0,0.005518659050381365,0.012352664231297317,934.1357252864094,1.1503058941828437,1.8975234675380197
8,9.0,0.013943780015050226,0.01182327587880615,986.9026022659099,1.100927673296897,1.4766003717751783
9,10.0,-0.0010505430642838486,0.009900139553910767,915.1123050348176,0.9222272739646405,1.2808012002122586
10,11.0,0.0012215194957282036,0.012240243561569258,912.5041415498856,1.1403548042128897,2.013591210029624
11,12.0,0.012401065255621088,0.011852957065893814,912.6959751901168,1.1033706124616665,1.9272753564524152
12,13.0,0.01471633296515104,0.008650128158782074,746.8894180697796,0.804972482862452,1.4279205812609344
13,14.0,0.016633026799003275,0.011097818778598714,910.4762558350559,1.0328219847580553,1.6372397964744942
14,15.0,0.02352314829254201,0.011744987129493973,912.4238516311374,1.09302309183955,1.8095274921680995
15,16.0,0.024594304843959015,0.011631574769356291,922.4234345070182,1.0823894490093764,1.695979336898771
16,17.0,0.015479612318716723,0.011724894791024678,914.6618214333469,1.091544218968479,1.7928093022251603
17,18.0,0.02193836535093647,0.010941445699325683,909.3213770210815,1.0180844560084032,1.6335273717867915
18,19.0,0.017669684566367277,0.008740772295784948,761.9651335927367,0.8132433061918805,1.3917091000081603
19,20.0,0.021602591371715708,0.01185069803605501,929.0884244848479,1.102697155434749,1.7825998801406224
20,21.0,0.033913116404562925,0.011765296040576004,924.6820878043517,1.0942487388811155,1.7124965839313921
21,22.0,0.0011533344540310781,0.011380552827123103,947.2704170352235,1.0599730692529448,1.5476780016817862
22,23.0,0.01368238580795901,0.012109803849625015,926.9640895623331,1.1270804518213642,1.8964653634314104
23,24.0,0.029495573678030317,0.011403996504323787,949.3411981468579,1.0608257578054197,1.5683837459057155
