,caloNum,c,c_err,a,a_err,t,t_err,m,m_err,chisqr,rand_c,rand_c_err,rand_a,rand_a_err,rand_t,rand_t_err,rand_m,rand_m_err,rand_chisqr
0,1.0,0.5906419256018662,0.010209765731770515,4.512363376426051,0.19588883418305822,6.505676482790795,0.2192167115507522,-0.0005092954384429446,8.128744847429796e-05,2.6175015615041977,0.5982284761128929,0.009106048887032816,3.69039233743352,0.13369973068894966,7.3733211614307015,0.2265293818513617,-0.0005838540823345206,7.179967158509371e-05,1.919647420883421
1,2.0,0.07142058945807281,0.01837183344970296,3.792399385151494,0.2956839043736635,7.057652634534413,0.45276034460521786,-0.0003391763699131631,0.00014536967789129007,8.048240107882876,0.09199787031649669,0.010831020338691918,3.210399492479839,0.14087707896350987,7.8160450952465865,0.3030091473382956,-0.0004235983146466907,8.497706392357739e-05,2.6043512114337997
2,3.0,1.4665767339521385,0.013820291590559768,5.725255293722701,0.3311007751700526,5.886759116126942,0.2460455810018571,-0.0002458796182919729,0.00011079331395592012,5.078583558713188,1.4583168551669414,0.007808983807064234,6.5059360933612975,0.20072313589193247,5.706667931925796,0.12449614788807638,-0.000260266653145101,6.272671499552253e-05,1.648304747225935
3,4.0,0.800989454110224,0.010761948468625613,5.291406781776906,0.22961348540859688,6.198430320677218,0.20177966124949964,-0.00033102775683819304,8.597667779132409e-05,2.9921177739097917,0.7943648245877704,0.008040084749930627,5.5508876020291185,0.17505928752320518,6.14303242223938,0.14434533516780212,-0.0002875003449024145,6.427209530470934e-05,1.678727145102224
4,5.0,2.463528083125405,0.022553508627456597,4.052962179684249,0.3214508390622128,7.475943636038395,0.5082664538374373,-0.0007090894358328696,0.00017762023932192523,11.659094708119337,2.4500735264863738,0.012549483384134537,2.6753516826794903,0.11081849432932038,9.464453199637353,0.3967346846554201,-0.0007365114886133424,9.663759978861377e-05,2.982187564074566
5,6.0,1.4643575943212563,0.012666154877955617,6.064409850120081,0.3232400126540225,5.724839139321579,0.21623684934240103,-0.000446832678089725,0.00010172238382078383,4.32935868079223,1.4537935657626386,0.008263204794552621,10.336222786835274,0.3209754219421492,4.796034426840351,0.09282824570311672,-0.00035059778611838135,6.704385761438195e-05,2.004695369946075
6,7.0,2.0743981047940627,0.014889137430846711,3.909317218207718,0.21151525506278693,7.492213531230936,0.347440616984543,-0.0007481725991952858,0.00011724392349845687,5.075647895435685,2.069221045124404,0.012053706468006803,2.817126134300564,0.11794284037475686,8.990531753233537,0.36719153365640556,-0.0007306717465910542,9.332151482762232e-05,2.8812355385116293
7,8.0,0.9326186831592098,0.014193380485691109,4.038527081562806,0.2194465988438263,7.19505834194329,0.32579481012111927,-0.0005653665325589193,0.0001121372369856697,4.7430121215785315,0.9312186723684414,0.0105446775791801,3.2150478979447192,0.12503634653872445,8.17685026428146,0.2899677661090136,-0.0005960332278011387,8.239515315656737e-05,2.3850928268076426
8,9.0,0.3811666688281866,0.017742646022870345,3.775805649047119,0.2686141893591207,7.267117287387486,0.4338580322686898,-0.0006206925320169378,0.00014006551376612855,7.3615777299387055,0.4055191536764241,0.010478627728767788,3.2353054063570648,0.12936476018322998,8.014479731310754,0.28838366469095517,-0.0007342910021060941,8.202652793557096e-05,2.391473512243917
9,10.0,0.693992206972733,0.013342470141989075,4.112457946734399,0.20909497187436415,7.147754146677022,0.3016111000964956,-0.0008270773599248378,0.00010546862038540247,4.209460478746282,0.6890426354164817,0.010411626669542188,3.362086300190619,0.12863230520753943,8.011884905969385,0.27575914014626157,-0.0008172622892795043,8.150469026369979e-05,2.3616372587559606
10,11.0,0.5029557071776781,0.011307275822531498,4.395037906799999,0.18323340429813054,7.037206962042275,0.2406892611533957,-0.0010111623288291034,8.949312749280672e-05,3.0551809020260188,0.51635625303609,0.009599532394261473,3.8219862058351777,0.1284529747522561,7.709206730672479,0.22671977621056344,-0.0010764658160092322,7.540553813495739e-05,2.066600388854747
11,12.0,0.3092316570569794,0.009771588938124251,4.460364894348826,0.16997299926262815,6.8078152987904526,0.20789379533834682,-0.0008360103809536713,7.753747096604455e-05,2.331219907279612,0.30658220765286504,0.00869247406806794,3.883861868227623,0.12757075584479877,7.374032730092279,0.2054775723503668,-0.0007838304133127498,6.85375021416535e-05,1.7489778548656472
