,caloNum,c,c_err,a,a_err,t,t_err,m,m_err,chisqr,rand_c,rand_c_err,rand_a,rand_a_err,rand_t,rand_t_err,rand_m,rand_m_err,rand_chisqr
0,1.0,-0.09732925327820272,0.010379513369710073,4.911633695493408,0.19203229919623901,6.615774592275354,0.20314373678538378,-0.09732925327820272,8.253787870316356e-05,2.677785534407195,-0.087508536481368,0.008269704311870102,4.178846008870389,0.11387523356922749,7.602025178332966,0.1795858268397428,-0.087508536481368,6.503687954263805e-05,1.5491418530003602
1,2.0,-0.2635101153996313,0.014479316562959619,4.844085020925534,0.2411907953520245,6.946632386995381,0.2811813997576195,-0.2635101153996313,0.00011471476970885706,5.052418592161876,-0.24871852407555214,0.009482161649035757,4.192449529028669,0.1223982009540573,7.844689121098531,0.20287252800561512,-0.24871852407555214,7.437012131808493e-05,1.9905952482362888
2,3.0,0.9436751695833273,0.010937357924216731,5.858669326518484,0.22339209420505338,6.321547513462194,0.18341424999593484,0.9436751695833273,8.72580109693491e-05,3.055311500184117,0.9417705744832006,0.0067492585463797715,5.318363461733655,0.11190159544961513,6.961300121696292,0.11927860578094397,0.9417705744832006,5.346299477284937e-05,1.0962124312767352
3,4.0,0.11392405970721844,0.010769751464555643,5.773733117418377,0.21360685706868854,6.407538975970934,0.18203833014318963,0.11392405970721844,8.583958811399295e-05,2.939134700959361,0.12110234097659678,0.007404031424684622,5.192717596630917,0.11929234041844514,7.055691170656468,0.13325511545152863,0.12110234097659678,5.858777950955885e-05,1.3076115832904385
4,5.0,1.4248227826459958,0.01534602466842511,4.785976495747905,0.23508124950823364,7.223941762778006,0.29683575978342847,1.4248227826459958,0.00012120090512462112,5.528168957334061,1.4307541504261077,0.010705902001196387,3.650106700055644,0.11364646361438539,8.632156297520316,0.2548531177554635,1.4307541504261077,8.322268067310567e-05,2.352737758680222
5,6.0,0.5894533431040317,0.015027665557905258,6.81266742486147,0.36189183348571774,5.872442517227686,0.22515889094848643,0.5894533431040317,0.00012049040504878776,6.01210756894039,0.5820687814613748,0.006409027298967809,9.04026376129228,0.18610695387293302,5.413598375381689,0.07587194751669388,0.5820687814613748,5.164820966605193e-05,1.1403887216307214
6,7.0,1.3795527989829408,0.014387056780112028,5.56579434220687,0.2574127272746207,6.71959721460177,0.2467153646648159,1.3795527989829408,0.00011427416558448759,5.095516490954864,1.378886797503516,0.007694476835670866,4.908115718236722,0.11424009996905948,7.334908089596445,0.1442109148142265,1.378886797503516,6.069626033249976e-05,1.375687668390622
7,8.0,0.32311049928600366,0.01768693761578516,4.080382741827395,0.2319991229604621,7.784438847506645,0.38987260528638246,0.32311049928600366,0.00013881639761779784,6.965965239675732,0.3316874738775528,0.013767993627513221,2.9079253090203356,0.11969915342808508,9.535653331561102,0.39970736168115156,0.3316874738775528,0.00010593092587552443,3.5633738030870625
8,9.0,-0.22461336381579464,0.015350832844268532,5.232421829615,0.2800246278477022,6.657113465159623,0.2812771202632424,-0.22461336381579464,0.00012201088199109234,5.833577144689221,-0.21415510953618688,0.007197489800017226,5.170244421549828,0.12580983410403626,6.791641193109951,0.13225294686727818,-0.21415510953618688,5.7121869473577836e-05,1.266605540013392
9,10.0,0.04320549880647058,0.012406580724539826,5.040340859356978,0.21105813485991082,6.878242385176495,0.23254634264317128,0.04320549880647058,9.836799898603954e-05,3.7331338245534487,0.04721694446113043,0.008351474407950999,4.432827637806929,0.12147892810742669,7.405221066782302,0.17268747744208107,0.04721694446113043,6.582558990180083e-05,1.609663366026195
10,11.0,-0.12247527865710589,0.011430770549092868,5.216652949097018,0.19603548167216142,6.8511974593766505,0.20739450873567417,-0.12247527865710589,9.06573401567499e-05,3.176671475242232,-0.12229516980478454,0.008069905274093602,4.69446529522026,0.12234173404532926,7.261332411080064,0.15878250766587526,-0.12229516980478454,6.370951768189545e-05,1.5235775588349059
11,12.0,-0.4101646226381868,0.010523621944975466,4.834456510905784,0.1644400483269488,7.159295177037204,0.20219605803250384,-0.4101646226381868,8.317720348609666e-05,2.6162677937383068,-0.41148908812486434,0.008115246574803716,4.285686741147679,0.11253685311839332,7.57768569099159,0.1720250839076667,-0.41148908812486434,6.384056850900594e-05,1.4954450449396053
12,13.0,0.22977714437931052,0.010110859062286067,3.4772393992684645,0.15400247857222635,7.245896241700178,0.268792168163143,0.22977714437931052,7.983668012929015e-05,2.3953187648190575,0.23378845531519893,0.006825353154017929,3.173452383535718,0.09602066642782149,7.52580311420644,0.19589432244876578,0.23378845531519893,5.372479264031316e-05,1.0630691570192456
13,14.0,-0.0461724989793396,0.012589704136738513,4.6599285923431,0.18282100847752128,7.411478677678045,0.24754760785874194,-0.0461724989793396,9.922434321954507e-05,3.65592050737214,-0.04307910027707221,0.009034861893921177,4.206160974511032,0.12028098534091522,7.7281282408676315,0.19372181130548155,-0.04307910027707221,7.095477228896355e-05,1.8273182349889836
14,15.0,0.8202128425295256,0.011133075561042025,4.560458263351422,0.16325434796517826,7.376643351636723,0.2241005400415046,0.8202128425295256,8.777804061279659e-05,2.8681962437839177,0.8135362529563587,0.008445390141959283,4.128267496490744,0.11485194190557756,7.649479084597838,0.18519112964763673,0.8135362529563587,6.638433402731951e-05,1.608659501233903
15,16.0,-0.036445271878169996,0.013339787722059604,5.157478660835098,0.22135085477930422,6.957778599116552,0.24318012310347673,-0.036445271878169996,0.00010567175648113834,4.283394365319232,-0.02503097145950248,0.008148703885603688,4.681048767353065,0.12249134042957663,7.290739340168013,0.16053247617656358,-0.02503097145950248,6.431041723322129e-05,1.549183670023627
16,17.0,0.8679846891466622,0.029925231374497124,2.6968146037093135,0.23413423260498759,10.053420353577913,0.9240938993305577,0.8679846891466622,0.00022887949417837878,15.993188257102702,0.878015096911653,0.027326573120463507,2.3312962228263387,0.17872865916277259,11.008718247894114,0.95532796011823,0.878015096911653,0.0002067240207707294,12.124100717604492
17,18.0,1.0646806854345616,0.01270695743503151,4.1992353219982315,0.1708193138879341,7.693015642816695,0.2733382290336448,1.0646806854345616,9.983399215892208e-05,3.6269827272538224,1.0679743943565951,0.00958300807720213,3.7994834381577776,0.11341840966778749,8.181674985380853,0.22299171876586418,1.0679743943565951,7.487434926731163e-05,1.9684643697254705
18,19.0,-0.1330540846842461,0.021326743572414802,2.0302757697910803,0.17678094005308134,9.76379538068684,0.8814160720836325,-0.1330540846842461,0.00016365466685322924,8.357717876641308,-0.1253797269712125,0.018420135669368176,1.9140020710503822,0.13695157338008973,10.325618750594582,0.7957781730950078,-0.1253797269712125,0.00014046069955967936,5.9037883776388425
19,20.0,0.3339822477113749,0.01995726942649495,3.4598080850754576,0.21081177645433816,8.650766792835748,0.5009657829838094,0.3339822477113749,0.00015510143221246766,8.15916600567199,0.3311731074736328,0.017479589036681238,3.17197325280402,0.15752637804504024,9.368027339994459,0.46739922395183353,0.3311731074736328,0.0001347495037531836,5.8402152456593
20,21.0,0.31300022145092987,0.010033865361697949,5.229364474477471,0.1793801725620937,6.721011796252312,0.18313840794389094,0.31300022145092987,7.969519335978198e-05,2.477870265156963,0.3156229209270721,0.007820309268178512,5.205632374895091,0.1275561873206791,7.014941891720846,0.1407412890854163,0.3156229209270721,6.190993139069133e-05,1.464354203540173
21,22.0,0.22918295357539836,0.010267622680795327,5.088191829717202,0.17069604437349195,6.952698426972539,0.18976276032375936,0.22918295357539836,8.134106853059164e-05,2.539106310979591,0.2296633065246013,0.007621903420125573,4.651352954574702,0.10521672643958388,7.593546687369602,0.14875791730189938,0.2296633065246013,5.994840349112916e-05,1.3170818841104186
22,23.0,0.037769095969303224,0.014737931478009003,4.644529235769861,0.24164696938497274,6.997138771599311,0.29761783501003214,0.037769095969303224,0.00011669613192799457,5.209201611191248,0.04909792068680192,0.008330788316210052,4.92936963493813,0.12961972899747592,7.173486478604543,0.15685959740763783,0.04909792068680192,6.583466323308784e-05,1.6373135875049103
23,24.0,0.5200685601281883,0.014363663888519772,8.196232635179326,0.4657088281586397,5.167434282523611,0.1931840630843324,0.5200685601281883,0.00011606700395809467,5.85783286160949,0.5064684462638489,0.008419973399780229,10.930924362489023,0.3317736186100234,4.768776276257589,0.08981321697827546,0.5064684462638489,6.83365021811921e-05,2.086669834143386
