,a,a error,b,b error,chi2
0,-0.0008082002394001091,0.00010038367406410274,1.1803361064669768,0.009379328098795865,0.9046135194013304
1,-0.0015538391116166168,0.00016395865106731854,-1.4891319820950355,0.015318218538585013,1.4709037445805244
2,-0.000827437584890479,0.00015328396678752738,5.548899639847039,0.014312382013958893,0.9112470341823142
3,-0.0009077589671274224,0.00015126880449677213,1.6299064036310313,0.014124924043864395,0.9691465134240127
4,-0.0005235378476327086,0.00028722920424200884,8.761528282432277,0.02680759916627732,2.0878723847891067
5,-0.0013352221247583654,0.00012232690342126035,2.8511750693003353,0.011428690823516151,0.6856618205332002
6,-0.001417680656163972,0.00014978089938661883,3.8065439237748224,0.013992512362532076,1.3440087899989501
7,-0.0016465804577721315,0.0001698624344366675,5.6726334840630015,0.015855278079441218,1.0873831721058762
8,-0.0018578344936861833,0.00012496022847928039,-2.430137056508298,0.011675614153298762,0.6200742961108695
9,-0.0017335441799771131,0.0001891058127554587,4.725183108630888,0.017652217858758375,1.5718309491020401
10,-0.0011218707717574824,0.00013204829129777066,-0.3386025794975837,0.012342084168589706,1.2918663744328698
11,-0.00131949395446134,0.0001367971823400847,0.5560291106744598,0.012781372940655662,1.5652856787138694
12,-0.0007804162583367926,7.935852024905733e-05,1.5438132060631902,0.007415059821609062,0.7655967626061495
13,-0.001252433921794755,0.00013207840277214882,-0.7225785289782488,0.012344486044139177,1.3855617075078541
14,-0.0014990372715862044,0.00016854450372973543,1.6314766689190843,0.015746714552607132,1.2893280370311178
15,-0.0020115312336899042,0.00015871778651721573,-1.1036636915995106,0.014833836550269564,1.1355848051588038
16,-0.0018224890711105177,0.00012328318507039024,-2.310407728069791,0.011524753611585802,0.7457491449015285
17,-0.0008406072612184313,9.717046247568998e-05,3.0875726181270666,0.009081221646424612,0.8458687964592644
18,-0.0005867241838216065,9.891470472516186e-05,-0.9582117340376778,0.009239193823637725,0.9735410641504026
19,-0.001240994452830932,0.00015883775259303243,4.424476576447983,0.014834140981555118,1.6710258157239637
20,-0.0013619051901166657,0.00020943283232416414,-0.003331538544841247,0.01955674582353202,1.3868448233966404
21,-0.00216395639861048,0.00020335349769786898,6.139140969761521,0.018988162980115842,1.1497066262955067
22,-0.0011367942834234037,0.00015087899862104682,-0.11878899145970571,0.014093969602628265,1.0997502428021415
23,-0.0007995299317173756,0.00013194867994567586,2.4678501567865045,0.012324335686401863,0.7420632718815507
