,mean,error,caloNum
1,0.8216189411931278,0.010644741735328566,1.0
2,0.4213604042662289,0.011009845472832612,2.0
3,1.6664429931576226,0.010965750158354996,3.0
4,1.0320691405508862,0.01101519300000295,4.0
5,2.649437103728687,0.011340037094133356,5.0
6,1.6695670963817824,0.011116457665437571,6.0
7,2.334277996918138,0.011101629180680198,7.0
8,1.1027049932442317,0.010952541430750966,8.0
9,0.46571281243852664,0.011567185554185795,9.0
10,0.8411222985393259,0.010839391256284601,10.0
11,0.48381086065366596,0.010702920040739614,11.0
12,0.4068954579382002,0.010593252262337467,12.0
13,0.8455047994832254,0.00986603943626906,13.0
14,0.8541483740394904,0.010862858025803461,14.0
15,0.9845335541820628,0.010809807459931578,15.0
16,0.7590653871610056,0.011000074646553601,16.0
17,1.2860465220294617,0.011101331031489643,17.0
18,1.5986173403743322,0.01066253293498905,18.0
19,0.35845979411328227,0.009970187408067037,19.0
20,1.048089229298901,0.010916006668412127,20.0
21,1.0812874866005542,0.011019666890633356,21.0
22,1.6037368462974633,0.011148992692466974,22.0
23,0.7754669522928378,0.010796263046587113,23.0
24,1.3179963395551348,0.011050221154175442,24.0
