,mean,error,caloNum
1,-0.11183319063914435,0.010574004265562442,1.0
2,-0.30136292709399204,0.010123777299615305,2.0
3,0.8260029631953164,0.010246156110432454,3.0
4,0.1000811242365758,0.010182924633880222,4.0
5,1.3432842811628418,0.010323521552067312,5.0
6,0.6420597191689111,0.010416974284162243,6.0
7,1.4326583751834827,0.01038784826305626,7.0
8,0.27012046384297467,0.010286644108361756,8.0
9,-0.278490675097086,0.01091110670054662,9.0
10,0.06018742577913168,0.010224012317028255,10.0
11,-0.2796721087359428,0.010145194540961942,11.0
12,-0.37385165065329284,0.010024560175095065,12.0
13,0.2716325673193225,0.00923064934901635,13.0
14,-0.031069154557607597,0.01013865765335149,14.0
15,0.765252736348395,0.010028074373078332,15.0
16,-0.06630634842318002,0.0102486718138475,16.0
17,0.858733027958129,0.010110732137531813,17.0
18,0.9962140356626994,0.00996165532843444,18.0
19,-0.1750864833937393,0.009332167053177489,19.0
20,0.3667437653024474,0.01022459931607999,20.0
21,0.23495985232601602,0.010334915592217017,21.0
22,0.16215480683407574,0.010269900286463055,22.0
23,0.023902913837720273,0.010123832847421034,23.0
24,0.5365377537214684,0.010012167731107115,24.0
