,mean,error,caloNum
1,0.20368440740351035,0.02931678081422574,1.0
2,-0.34105907187144757,0.03486997851339208,2.0
3,0.8553267729102203,0.029930280722473262,3.0
4,0.3373505437510981,0.03029412412535685,4.0
5,1.734570602301895,0.030926516240959587,5.0
6,1.1743845388948602,0.030472787920567748,6.0
7,1.6148634327900169,0.030583757827594895,7.0
8,0.4080666710589734,0.030110250756175416,8.0
9,-0.21308648685849282,0.032064942299878295,9.0
10,0.1147569174821321,0.029867021236991306,10.0
11,-0.12884157105030458,0.02966177821035712,11.0
12,-0.15107672552649934,0.02921058337286247,12.0
13,0.4563462185096432,0.027144966010854407,13.0
14,0.21623120056889922,0.0295848060083922,14.0
15,0.4395045818096364,0.029657063599840525,15.0
16,0.07436239634503095,0.03022762940140299,16.0
17,0.9778400028911275,0.029768341222778924,17.0
18,0.9954128921344253,0.02933704792020949,18.0
19,-0.06484418864943116,0.02728727645109395,19.0
20,0.3971361240289188,0.029902050051531893,20.0
21,0.3532537189999337,0.030225196625026967,21.0
22,1.0116129961018745,0.030583384501837937,22.0
23,0.08605994045492447,0.029659800681188103,23.0
24,0.6481713410201697,0.03030460633345432,24.0
